movie_index,movie_name,movie_score
"
      146.
      ",Raging Bull,8.1
"
      147.
      ",There Will Be Blood,8.1
"
      148.
      ",The Treasure of the Sierra Madre,8.1
"
      149.
      ",Judgment at Nuremberg,8.1
"
      150.
      ",Babam ve Oglum,8.1
"
      151.
      ","Three Billboards Outside Ebbing, Missouri",8.1
"
      152.
      ",Dial M for Murder,8.1
"
      153.
      ",The Gold Rush,8.1
"
      154.
      ",Chinatown,8.1
"
      155.
      ",V for Vendetta,8.1
"
      156.
      ",No Country for Old Men,8.1
"
      157.
      ",Det sjunde inseglet,8.1
"
      158.
      ",Shutter Island,8.1
"
      159.
      ",Inside Out,8.1
"
      160.
      ",Warrior,8.1
"
      161.
      ",The Elephant Man,8.1
"
      162.
      ",Trainspotting,8.1
"
      163.
      ",The Sixth Sense,8.1
"
      164.
      ",The Thing,8.1
"
      165.
      ",Jurassic Park,8.1
"
      166.
      ",Gone with the Wind,8.1
"
      167.
      ",Smultronstället,8.1
"
      168.
      ",Blade Runner,8.1
"
      169.
      ",Room,8.1
"
      170.
      ",Finding Nemo,8.1
"
      171.
      ",The Truman Show,8.1
"
      172.
      ",The Bridge on the River Kwai,8.1
"
      173.
      ",Stalker,8.1
"
      174.
      ",Kill Bill: Vol. 1,8.1
"
      175.
      ",Fargo,8.1
"
      176.
      ",The Third Man,8.1
"
      177.
      ",On the Waterfront,8.1
"
      178.
      ",Gran Torino,8.1
"
      179.
      ",Tôkyô monogatari,8.1
"
      180.
      ",Salinui chueok,8.1
"
      181.
      ",The Deer Hunter,8.1
"
      182.
      ",Relatos salvajes,8.1
"
      183.
      ",Klaus,8.1
"
      184.
      ",Andhadhun,8.1
"
      185.
      ",In the Name of the Father,8.1
"
      186.
      ",Mary and Max,8.1
"
      187.
      ",Eskiya,8.1
"
      188.
      ",The Big Lebowski,8.1
"
      189.
      ",Gone Girl,8.1
"
      190.
      ",Hacksaw Ridge,8.1
"
      191.
      ",The Grand Budapest Hotel,8.1
"
      192.
      ",To Be or Not to Be,8.1
"
      193.
      ",Before Sunrise,8.1
"
      194.
      ",Persona,8.1
"
      195.
      ",Catch Me If You Can,8.1
"
      196.
      ",Ford v Ferrari,8.1
"
      197.
      ",The General,8.1
"
      198.
      ",How to Train Your Dragon,8.1
"
      199.
      ",Prisoners,8.1
"
      200.
      ",Sherlock Jr.,8.1
"
      201.
      ",Mr. Smith Goes to Washington,8.1
"
      202.
      ",12 Years a Slave,8.1
"
      203.
      ",Mad Max: Fury Road,8.1
"
      204.
      ",Barry Lyndon,8.1
"
      205.
      ",Network,8.1
"
      206.
      ",Stand by Me,8.1
"
      207.
      ",Cool Hand Luke,8.1
"
      208.
      ",Million Dollar Baby,8.1
"
      209.
      ",Du rififi chez les hommes,8.1
"
      210.
      ",Into the Wild,8.1
"
      211.
      ",Hachi: A Dog's Tale,8.1
"
      212.
      ",Le salaire de la peur,8.1
"
      213.
      ",Ben-Hur,8.1
"
      214.
      ",Life of Brian,8.1
"
      215.
      ",Platoon,8.1
"
      216.
      ",Dead Poets Society,8.1
"
      217.
      ",Harry Potter and the Deathly Hallows: Part 2,8.1
"
      218.
      ",Rush,8.0
"
      219.
      ",Logan,8.0
"
      220.
      ",La passion de Jeanne d'Arc,8.0
"
      221.
      ",Andrei Rublev,8.0
"
      222.
      ",Les quatre cents coups,8.0
"
      223.
      ",Ah-ga-ssi,8.0
"
      224.
      ",Hotel Rwanda,8.0
"
      225.
      ",Amores perros,8.0
"
      226.
      ",Spotlight,8.0
"
      227.
      ",Rang De Basanti,8.0
"
      228.
      ",Kaze no tani no Naushika,8.0
"
      229.
      ",Rocky,8.0
"
      230.
      ",La haine,8.0
"
      231.
      ",Rebecca,8.0
"
      232.
      ","Monsters, Inc.",8.0
"
      233.
      ",Gangs of Wasseypur,8.0
"
      234.
      ",Portrait de la jeune fille en feu,8.0
"
      235.
      ",It Happened One Night,8.0
"
      236.
      ",The Circus,8.0
"
      237.
      ",Before Sunset,8.0
"
      238.
      ",Fa yeung nin wah,8.0
"
      239.
      ","Paris, Texas",8.0
"
      240.
      ",The Help,8.0
"
      241.
      ",Drishyam,8.0
"
      242.
      ",The Princess Bride,8.0
"
      243.
      ",Contratiempo,8.0
"
      244.
      ",The Terminator,8.0
"
      245.
      ",Fanny och Alexander,8.0
"
      246.
      ",La battaglia di Algeri,8.0
"
      247.
      ",Aladdin,8.0
"
      248.
      ",PK,8.0
"
      249.
      ","Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.0
"
      250.
      ",Kumonosu-jô,8.0
